learner_record_id,region,department,role_family,experience_band,training_mode,prior_python_score,course_minutes,manager_support_score,support_tickets_last_30d,engagement_score,completion_days,assessment_score,satisfaction_score,productivity_gain_estimate_pct,completed_training
EDA-0001,Wales,HR,Administrator,6-10 years,Blended,39.4,389.0,3,1,74.2,20.0,79.4,4.7,11.5,1
EDA-0002,Scotland,Customer Support,Developer,3-5 years,Self-paced,47.7,256.0,3,1,83.2,11.0,84.9,4.5,11.1,1
EDA-0003,Yorkshire,Customer Support,Developer,0-2 years,Instructor-led,51.1,397.0,4,0,100.0,22.0,91.7,5.0,12.3,1
EDA-0004,South East,HR,Advisor,10+ years,Instructor-led,49.9,272.0,3,0,86.7,14.0,81.9,4.1,9.8,1
EDA-0005,North West,Finance,Administrator,0-2 years,Blended,40.7,379.0,5,1,89.9,13.0,95.9,4.8,13.1,1
EDA-0006,West Midlands,Operations,Administrator,6-10 years,Blended,72.1,434.0,3,1,98.8,9.0,100.0,5.0,12.7,1
EDA-0007,North West,Customer Support,Advisor,0-2 years,Self-paced,41.3,257.0,5,4,83.2,30.0,73.4,4.7,14.8,1
EDA-0008,Yorkshire,Sales,Coordinator,3-5 years,Instructor-led,50.0,344.0,3,2,70.5,13.0,90.7,4.4,8.3,1
EDA-0009,London,Finance,Administrator,3-5 years,Instructor-led,51.7,392.0,2,2,81.7,26.0,86.0,4.0,14.7,1
EDA-0010,London,Customer Support,Analyst,0-2 years,Self-paced,78.7,341.0,4,0,78.0,5.0,93.2,4.4,13.8,1
EDA-0011,South East,HR,Analyst,6-10 years,Blended,58.5,326.0,4,0,67.5,16.0,93.6,4.8,14.9,1
EDA-0012,Scotland,Sales,Coordinator,6-10 years,Blended,36.9,409.0,1,0,80.2,21.0,64.1,5.0,12.8,1
EDA-0013,London,Sales,Coordinator,6-10 years,Self-paced,71.4,352.0,4,1,65.6,12.0,94.3,4.5,12.8,1
EDA-0014,London,IT,Advisor,3-5 years,Self-paced,79.7,432.0,1,2,66.8,26.0,85.9,3.9,11.8,1
EDA-0015,Scotland,IT,Analyst,3-5 years,Self-paced,44.6,241.0,3,1,62.2,29.0,68.4,3.8,11.8,1
EDA-0016,South East,HR,Administrator,6-10 years,Self-paced,85.2,265.0,1,1,69.9,11.0,100.0,3.5,14.7,1
EDA-0017,West Midlands,Product,Manager,3-5 years,Blended,21.1,403.0,4,2,79.3,23.0,88.9,4.4,9.4,1
